,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,year,month
0,5001,Prince of Persia: The Two Thrones,XB,Ubisoft Montreal,Ubisoft,,,0.58,0.33,0.22,,0.03,2005,12
1,5002,I Am Bread,PC,Bossa Studios,Bossa Studios,,,,,,,,2015,04
2,5003,Gex: Enter The Gecko,PS,Crystal Dynamics,Midway Games,,,0.58,0.32,0.22,,0.04,1998,01
3,5004,Shrek 2: Beg for Mercy,GBA,Vicarious Visions,Activision,,,0.58,0.42,0.15,,0.01,2004,10
4,5005,Contra: Shattered Soldier,PS2,Konami Computer Entertainment Tokyo,Konami,7.3,,0.58,0.28,0.22,,0.07,2002,10
5,5006,Championship Motocross featuring Ricky Carmichael,PS,Funcom,THQ,7.5,,0.58,0.32,0.22,,0.04,1999,09
6,5007,Dragon Ball Z: Chou Saiya Densetsu,SNES,TOSE,Bandai,,,0.58,,,0.58,,1992,01
7,5008,NEKOPARA Vol. 1,PC,Neko Works,Unknown,,,,,,,,,
8,5009,Skate it    Read the review,Wii,EA Montreal,Electronic Arts,6.6,,0.58,0.5,0.03,,0.04,2008,11
9,5010,Disney Magic World 2,3DS,High Horse Entertainment,Nintendo,7.5,,0.58,0.07,0.25,0.23,0.02,2016,10
10,5011,My Secret World by Imagine,DS,Ubisoft Milan,Ubisoft,,,0.58,0.38,0.19,,0.01,2008,09
11,5012,Fire Emblem: Seisen no Keifu,SNES,Intelligent Systems,Nintendo,,,0.58,,,0.58,,1996,05
12,5013,ABZU    Read the review,PC,Giant Squid Studios,505 Games,,,,,,,,2016,08
13,5014,Tenchu 2: Birth of the Stealth Assassins,PS,Acquire,Activision,8.5,,0.58,0.32,0.22,,0.04,2000,08
14,5015,Sniper Elite: Nazi Zombie Army,PC,Rebellion Games,Unknown,,,,,,,,,
15,5016,Tony Hawk's Pro Skater 4,GC,Neversoft Entertainment,Activision,9.2,,0.58,0.45,0.12,,0.02,2002,10
16,5017,Disgaea 4: A Promise Unforgotten,PS3,Nippon Ichi Software,NIS America,7.9,,0.58,0.27,0.11,0.14,0.06,2011,09
17,5018,Doom 3 BFG Edition,PS3,Unknown,Bethesda Softworks,,,0.58,0.26,0.22,,0.1,2012,10
